Word,Definition
가격조사담당자, 원가계산을 위하여 정기가격조사 또는 수시가격조사를 직접 수행하는 공무원을 말한다. 
가격조사자료, 비주거용 개별부동산가격의 산정조서 및 그 밖에 토지이용계획에 관한 자료를 말한다. 
가격조작,price manipulation
가격조절,price adjustment
가격평가, 용역연구개발과제 선정평가 시 「국가를 당사자로 하는 계약에 관한 법률 시행령」 제43조 및 제43조의2에 따라 입찰가격을 평가하는 것을 말한다. 
가격표,price list
가격표시의무자," 수소충전소를 경영하고 있는 자를 말한다. ,  「석유 및 석유대체연료 사업법 시행령」 제2조에서 정의하고 있는 석유판매업자 중 주유소와 일반판매소(이하 ""사업소""라 한다)를 말한다. "
가격표시판," 가격표시의무자가 석유제품의 가격정보, 품질정보 및 서비스정보 등을 표시하여 사업소 내에 설치한 표시물을 말한다. "
가격현황도면," 해당 연도에 산정된 비주거용 개별부동산가격, 전년도의 비주거용 개별부동산가격 및 해당 연도의 비주거용 표준부동산가격이 비주거용 부동산별로 기재된 도면을 말한다. "
가격협상,price negotiations
가격협의, 수의계약 대상자로 하여금 전자조달시스템을 통하여 견적서를 제출토록 하여 계약여부를 결정하는 것을 말한다. 
가격형성요인," 토지의 객관적인 가치에 영향을 미치는 지역요인 및 개별요인을 말한다. ,  공동주택의 객관적인 가치에 영향을 미치는 외부요인ㆍ건물요인 및 개별요인을 말한다. ,  단독주택의 객관적인 가치에 영향을 미치는 지역요인 및 개별요인을 말한다. "
가경작,"방조제 끝막이 공사이후 노출된 간척지에 대하여 사업시행자(공사시행자를 포함한다)의 내부개답공사 이전까지 국가예산이나 기금을 투자하지 아니하고 경작자 개인이나 법인 등이 자기부담으로 임시개발하여 단년생 작물을 경작하는 것을 말한다. 
2. ""기금수탁관리자""는 한국농어촌공사 사장을 말한다. "
가계약, 무기체계 구매사업 기종결정 전에 업체와 그 효력이 특정조건의 충족 시 발효키로 약정하고 체결한 계약을 말한다. 
가공공간정보," 공간정보를 가공하거나 이에 다른 정보를 추가하는 등의 방법으로 생산된 공간정보를 말한다. , processed spatial data"
가공물,processed article
가공배전선로, 전주 등의 지지물과 가공전선을 사용하여 지상에 시설한 35kV미만의 전선로와 부속설비를 말한다. 
가공선," 전력 수송이나 통신, 기타 목적을 위하여 공중에 매단 선(線)을 말한다. "
가공소금," 천일염ㆍ정제소금ㆍ재제조소금ㆍ화학부산물소금 또는 기타소금을 대통령령으로 정하는 비율 이상 사용하여 볶음ㆍ태움ㆍ용융(열을 가하여 액체로 만듦)의 방법, 다른 물질을 첨가하는 방법 또는 그 밖의 조작방법 등을 통하여 그 형상이나 질을 변경한 소금을 말한다. "
가공송전선, 154㎸ 이상의 직접접지계의 고안정송전선을 말한다. 
가공시설, 생식용 생굴을 처리ㆍ가공하는데 필요한 모든 시설과 장비를 말한다. 
가공식품," 농ㆍ수ㆍ축산물을 원료로 하여 그 원형을 알아볼 수 없을 정도로 변형(분쇄, 절단 등)시키거나 변형시킨 것을 혼합하는 등 가공하여 제조한 식품을 말한다. 
 "
가공업자,processor;processing business operator
가공자,processing person;person who performs a processing work
가공자료," 기초자료를 기반으로 해양이용, 항해안전 등 이용 목적에 따라 사용자가 쉽게 이해할 수 있도록 제작된 수로도서지, 수치제작물, 해양공간정보 등을 말한다. ,  원자료(raw data)를 과학적 방법에 의해 가공한 자료로 원자료의 평균ㆍ퍼센타일ㆍ최대값ㆍ최소값ㆍ특성치ㆍ3차원 형상자료에서 산출된 인체치수 등의 자료를 말한다. "
가공제품, 원료물질 또는 공정부산물을 가공하거나 이를 원료로 하여 제조된 제품을 말한다. 
가공통계," 조사 또는 보고통계를 목적에 따라 가공한 통계를 말한다. , 조사통계 또는 보고통계를 목적에 따라 가공한 통계를 말한다. ,  조사통계 또는 보고통계를 목적에 따라 가공한 통계를 말한다. "
가공품,processed goods/product
가공품목," 병해충이 서식 또는 잠복 할 수 없을 정도로 가공한 제품으로 식물검역대상품목에 해당되지 아니하는 품목을 말한다. ,  병해충이 서식 또는 잠복할 수 없을 정도로 가공한 제품으로 식물검역대상품목에 해당되지 아니하는 품목을 말한다. "
가교시험, 의약품의 안전성ㆍ유효성에 관한 민족적 요인에 차이가 있어 외국임상자료를 그대로 적용하기가 어려운 경우 국내에서 한국인을 대상으로 가교자료를 얻기 위하여 실시하는 시험을 말한다. 
가교자료, 국내ㆍ외에 거주하는 한국인을 대상으로 얻어진 시험자료로서 임상시험자료집에서 발췌하거나 선별한 자료 또는 가교시험으로부터 얻어진 자료를 말한다. 
가구," 사업계획에서 정해진 공공용지 및 시행지구 지구계에 둘러싸인 택지구역을 말한다. ,  1명이 단독으로 생계를 영위하거나 2명 이상이 공동으로 취사ㆍ취침 등을 하며 생계를 영위하는 생활 단위를 말한다. , 주민등록법상 세대별 주민등록표(이하 ""세대별 주민등록표""라 한다)의 세대주(1인이 세대를 이루는 경우를 말한다), 또는 세대주와 다음 각목의 1에 해당하는 자의 집단을 말한다. 다만, 세대주와 동일한 세대별 주민등록표상에 기재되어 있는 자로서 가목 또는 나목의 1에 해당하지 아니하는 자는 대통령령이 정하는 기준에 의하여 따로 하나의 가구를 구성한 것으로 본다. 
가. 世帶主와 동일한 世帶別 住民登錄票上에 기재되어 있는 世帶主의 配偶者 또는 그 直系尊屬 
나. 世帶主와 동일한 世帶別 住民登錄票上에 기재되어 있는 世帶主의 直系尊屬·直系卑屬 또는 그 配偶者 
다. 世帶主와 동일한 世帶別 住民登錄票上에 기재되어 있지 아니한 世帶主의 配偶者 또는 未婚인 18歲미만의 直系卑屬 ,  사업계획에서 정해진 공공용지 및 시행지구 지구계에 둘러쌓인 택지구역을 말한다. ,  「주민등록법」 제7조제1항에 따른 세대별 주민등록표에 기재된 사람으로 구성되어 거주와 생계를 함께 하는 생활단위를 말한다. ,  「주민등록법」 제6조제1항제1호에 따른 거주자 중 같은 법 시행령 제6조제1항에 따른 세대별 주민등록표에 등재(登載)된 사람으로서 다음 각 호의 사람으로 구성된 가구를 말한다. 
1. 영 제7조의4제1항에 따라 평생교육이용권의 발급을 신청한 사람(이하 ""신청인""이라 한다) 
2. 신청인의 배우자 및 직계존속 
1. 「한국장학재단 설립 등에 관한 법률」에 따른 국가장학금 지원 대상자 
2. 지방자치단체의 장이 발급하는 평생교육이용권과 중복발급 방지 등을 위해 교육부장관이 수급자 선정 제외대상으로 정하여 공고하는 요건에 해당하는 사람 "
가구단위," 「주민등록법」 제6조제1항제1호에 따른 거주자 중 같은 법 시행령 제6조제1항에 따른 세대별 주민등록표에 등재(登載)된 사람으로서 다음 각 호의 사람으로 구성된 가구를 말한다. 다만, 「국민기초생활 보장법 시행령」 제2조제2항 각 호의 사람은 해당 가구단위의 가구원에서 제외한다. 
1. 법 제8조제3항에 따른 취업지원 신청인(이하 ""취업지원 신청인""이라 한다) 
2. 취업지원 신청인의 배우자(사실상 혼인관계에 있는 사람을 포함한다) 및 1촌의 직계혈족 "
가구소득, 만 20세 이상 가구원의 연간소득금액을 합산한 금액을 12로 나눈 금액을 말한다. 
가구원," 주민등록표에 등재된 신청인 본인 및 그 배우자, 부모, 배우자의 부모, 자녀를 말한다. ,  신청인 본인 및 신청인과 주민등록표등본에 동일 세대로 등재된 사람 중「민법」 제779조에 의한 가족의 범위에 있는 사람을 말한다. 다만, 주민등록표등본 상 동일 세대로 등재되지 않더라도 배우자와 만 30세 미만 미혼자녀는 가구원으로 본다. 다만, 신청인 본인이 만 30세 미만 미혼자라면 부 또는 모의 가구에 속한 것으로 본다. <신설 2020. 7. 1.> "
가구점," 가구가 형성하는 다각형의 정점을 말한다. ,  가구가 형성하는 다각형의 정점을 말한다. ,  사업계획 및 현황측량성과에 의하여 결정된 가로의 각 조건에 따라 도로모퉁이 등 가구 변장 및 가구의 면적을 확정한 경계점을 말한다. "
가구정점, 가구를 형성하는 두 선이 만나는 점을 말한다. 
가구확정측량," 가구점의 위치, 가구의 위치, 형상 및 면적을 산출하고, 현지에 표시해서 확정하는 작업을 말한다. "
가금," 닭, 오리, 거위, 칠면조, 메추리, 꿩 및 기러기를 말한다. ,  닭, 오리, 거위, 칠면조, 메추리 및 꿩을 말한다. ,  닭·오리·거위·칠면조·메추리 및 꿩 등을 말한다. ,  닭·오리·거위·칠면조·메추리, 꿩 및 기러기를 말한다. ,  닭·오리·거위·칠면조·메추리 및 꿩을 말한다. ,  닭·오리·거위·칠면조·메추리 및 꿩을 말한다. "
가금육," 가금에서 유래한 신선, 냉장 또는 냉동 고기, 열처리 가금육, 식육부산물 및 식육가공품 등을 말한다. ,  가금에서 유래한 신선, 냉장 및 냉동고기(단순 분쇄육, 기계발골육(MSM)을 포함한다), 식육부산물(닭발을 포함한다)을 말한다. ,  가금에서 유래한 신선, 냉장, 냉동고기(단순 분쇄육을 포함한다) 및 식육부산물을 말한다. "
가납,provisional payment
가납금," 「군사법원법」(이하 ""법""이라 한다) 제391조에 따른 재산형의 가납판결에 따라 내야 하는 금액을 말한다. "
가납재판,judgment of provisional payment;provisional payment trial
가내공업,home/domestic industry
가능최대강수량, 어떤 지역에서 생성될 수 있는 가장 극심한 기상조건하에서 발생가능한 호우로 인한 최대강수량을 말한다. 
가능최대홍수, 가능최대강수량으로 인한 홍수를 말한다. 
가능최대홍수량," 가능최대강수량(probable maximum precipitation : PMP)으로 인한 홍수량을 말하며, 유역에서의 가능최대 강수량이란 주어진 지속시간 동안 어느 특정 위치에 주어진 유역면적에 대하여 연중 어느 지정된 기간에 물리적으로 발생할 수 있는 이론적 최대 강수량을 말한다. "
가담,"participation 
(participate in;take part in)"
가덕도신공항, 부산광역시 강서구 가덕도 일원에 건설되는 「공항시설법」 제2조제3호에 따른 공항을 말한다. 
가도,temporary/provisional road
가동개시, 신설 또는 변경된 시설이 당해년도에 처음으로 정상 가동되는 것을 말한다. 
가동보, 제3조의 적용을 받는 보의 시설물 중 수문 조작을 통해 수위의 조절이 가능한 구간의 시설을 말한다. 
가동실적," 부하율, 가동시간, 가동일수, 온실가스 배출량, 활동자료량, 배출집약도 등 사업장 또는 배출시설의 가동과 관련된 세부 정보를 말한다. "
가동유지장치, 조작장치가 눌러진 경우에만 작동이 되고 조작장치가 해제된 경우에는 원래의 위치로 복귀되는 장치를 말한다. 
가동전시험," 원자로시설의 안전관련 펌프 및 밸브에 대한 안전기능 수행 능력을 확인하고, 가동중시험에 이용할 기준 값을 설정하기 위하여 안전관련 기기 설치 후 운영허가일 이전까지 실시하는 시험을 말한다. ,  원자로 및 관계시설(이하 ""원자로시설""이라 한다)의 안전관련 펌프 및 밸브에 대한 안전기능 수행 능력을 확인하고, 가동중시험에 이용할 기준값을 설정하기 위하여 안전관련 펌프 및 밸브 설치 후 운영허가 이전까지 실시하는 시험을 말한다. "
가동정보, 배출시설 및 방지시설 가동여부를 확인할 수 있는 전류신호를 말한다. 
가동중량," 수조, 가압송수장치, 함류, 제어반등, 가스계 및 분말소화설비의 저장용기, 비상전원, 배관의 작동상태를 고려한 무게를 말하며 다음 각 목의 기준에 따른다. 
가. 배관의 작동상태를 고려한 무게란 배관 및 기타 부속품의 무게를 포함하기 위한 중량으로 용수가 충전된 배관 무게의 1.15배를 적용한다. 
나. 수조, 가압송수장치, 함류, 제어반등, 가스계 및 분말소화설비의 저장용기, 비상전원의 작동상태를 고려한 무게란 유효중량에 안전율을 고려하여 적용한다 "
가동중시험, 원자로시설의 안전관련 펌프 및 밸브에 대한 안전기능 수행능력을 확인하고 운영허가 이후 원자로시설의 시간 경과에 따른 취약화 정도를 감시ㆍ평가하기 위한 시험을 말한다. 
가두리양식어업, 일정한 수면을 구획하고 뜸ㆍ그물 등을 이용한 구조물을 설치하여 그 안에 수산동식물을 가두어 양식하는 어업을 말한다. 
가등기가처분,provisional registration and disposition
가등기권,right to provisional registration
가등기권리자,person holding/having a right to provisional registration
가등기담보,"provisional registration security;
provisionally registered security"
가등기담보권,"right of provisional registration security;
provisionally registered security right"
가등기명의인,person in whose name the provisional registration is made;person whose name is provisionally registered;holder of any right on the provisional registration
가등기설정계약,contract to effect the provisional registration;contract for establishing the provisional registration
가등기의무자,person obligated to make the provisional registration;person liable for provisional registration
가등록,provisional registration/record
가로기, 가로(街路)변에 다는 국기를 말한다. 
가로등, 「도로법」제2조제1항제1호에 따른 도로를 조명하는 조명기구를 의미한다. 
가로수, 「도로법」 제10조에 따른 도로(고속국도를 제외한다) 등 대통령령으로 정하는 도로의 도로구역 안 또는 그 주변지역에 조성ㆍ관리하는 수목을 말한다. 
가로중심점, 공사가 완료된 현황을 측정하고 사업계획선과 대조하여 중심선을 구하고 상호 교차하여 구하는 점을 말한다. 
가림간판,군사시설 중 자연적인 가림이 불가능한 시설을 인위적으로 은폐하기 위하여 설치한 옥상간판과 지주 이용 간판을 말한다. 
가맹계약서," 가맹사업의 구체적 내용과 조건 등에 있어 가맹본부 또는 가맹점사업자(이하 ""가맹사업당사자""라 한다)의 권리와 의무에 관한 사항(특수한 거래조건이나 유의사항이 있는 경우에는 이를 포함한다)을 기재한 문서를 말한다. , franchise agreement"
가맹금," 명칭이나 지급형태가 어떻든 간에 다음 각 목의 어느 하나에 해당하는 대가를 말한다. 다만, 가맹본부에 귀속되지 아니하는 것으로서 대통령령으로 정하는 대가를 제외한다. 
가. 가입비ㆍ입회비ㆍ가맹비ㆍ교육비 또는 계약금 등 가맹점사업자가 영업표지의 사용허락 등 가맹점운영권이나 영업활동에 대한 지원ㆍ교육 등을 받기 위하여 가맹본부에 지급하는 대가 
나. 가맹점사업자가 가맹본부로부터 공급받는 상품의 대금 등에 관한 채무액이나 손해배상액의 지급을 담보하기 위하여 가맹본부에 지급하는 대가 
다. 가맹점사업자가 가맹점운영권을 부여받을 당시에 가맹사업을 착수하기 위하여 가맹본부로부터 공급받는 정착물ㆍ설비ㆍ상품의 가격 또는 부동산의 임차료 명목으로 가맹본부에 지급하는 대가 
라. 가맹점사업자가 가맹본부와의 계약에 의하여 허락받은 영업표지의 사용과 영업활동 등에 관한 지원ㆍ교육, 그 밖의 사항에 대하여 가맹본부에 정기적으로 또는 비정기적으로 지급하는 대가로서 대통령령으로 정하는 것 
마. 그 밖에 가맹희망자나 가맹점사업자가 가맹점운영권을 취득하거나 유지하기 위하여 가맹본부에 지급하는 모든 대가 , franchise fee"
가맹본부," 가맹계약에 따라 가맹점사업자에게 가맹사업을 경영할 수 있는 권리를 주는 사업자를 말한다. ,  가맹사업과 관련하여 가맹점 사업자에게 가맹점 운영권을 부여하는 사업자를 말한다. ,  가맹사업과 관련하여 가맹점사업자에게 가맹점운영권을 부여하는 사업자를 말한다. "
가맹사업," 가맹본부가 가맹점사업자로 하여금 자기의 상표, 서비스표, 상호, 휘장(徽章) 또는 그 밖의 영업표지[이하 ""영업표지(營業標識)""라 한다]를 사용하여 일정한 품질기준이나 영업방식에 따라 상품(원재료 및 부재료를 포함한다) 또는 용역을 판매하도록 하면서 이에 따른 경영 및 영업활동 등에 대한 지원ㆍ교육과 통제를 하고, 가맹점사업자는 이에 대한 대가로 가맹본부에 금전을 지급하는 계속적인 거래관계를 말한다. ,  가맹본부가 가맹점사업자로 하여금 자기의 상표ㆍ서비스표ㆍ상호ㆍ간판 그 밖의 영업표지(이하 ""영업표지""라 한다)를 사용하여 일정한 품질기준이나 영업방식에 따라 상품(원재료 및 부재료를 포함한다. 이하 같다) 또는 용역을 판매하도록 함과 아울러 이에 따른 경영 및 영업활동 등에 대한 지원ㆍ교육과 통제를 하며, 가맹점사업자는 영업표지의 사용과 경영 및 영업활동 등에 대한 지원ㆍ교육의 대가로 가맹본부에 가맹금을 지급하는 계속적인 거래관계를 말한다. ,  법 제2조제5호에 의한 사업을 말한다 , franchise business"
가맹사업자," 가맹본부와 가맹점사업자를 말한다. , franchise business operator"
가맹시장," 온누리상품권(이하 ""상품권""이라 한다.)을 소지한 자가 물품 또는 용역을 구매를 할 수 있는 개별가맹점이 있는 시장을 말한다. "
가맹유통과,Franchise and Retail Division
가맹점," 체인사업자와 가맹계약을 체결하고 체인본부로부터 상품의 공급 및 경영지도를 받는 소매점포를 말한다. ,  제7조제1항에 따라 등록한 자로서 다음 각 목의 어느 하나에 해당하는 자를 말한다. 
가. 지역사랑상품권을 사용한 거래에 의하여 물품을 판매하거나 용역을 제공하는 자(이하 ""개별가맹점""이라 한다) 
나. 개별가맹점을 위하여 지역사랑상품권의 환전을 대행하는 자(이하 ""환전대행가맹점""이라 한다) ,  아래 각호의 자를 말한다. 
1.「여신전문금융업법」제2조제5호의 신용카드업자와의 계약에 따라 신용카드회원ㆍ직불카드회원 또는 선불카드 소지자에게 신용카드ㆍ직불카드 또는 선불카드를 사용한 거래에 의하여 재화 또는 용역을 공급하는 자 
2.「전자금융거래법」제2조제20호의 전자금융업자와의 계약에 따라 직불전자지급수단, 선불전자지급수단에 의한 거래에 있어 이용자에게 재화 또는 용역을 공급하는 자로서 금융회사 또는 전자금융업자가 아닌 자 ,  제26조의4에 따라 등록한 자로서 다음 각 목의 자를 말한다. 
가. 온누리상품권을 사용한 거래에 의하여 물품의 판매 또는 용역의 제공을 하는 시장등의 상인(이하 ""개별가맹점""이라 한다) 
나. 온누리상품권을 수취한 개별가맹점을 위하여 제26조의3제2항 단서에 따라 온누리상품권의 환전을 대행(代行)하는 상인조직(이하 ""환전대행가맹점""이라 한다) ,  금융회사 또는 전자금융업자와의 계약에 따라 직불전자지급수단이나 선불전자지급수단 또는 전자화폐에 의한 거래에 있어서 이용자에게 재화 또는 용역을 제공하는 자로서 금융회사 또는 전자금융업자가 아닌 자를 말한다. "
가맹점모집인, 신용카드업자를 위하여 가맹점계약의 체결을 중개 또는 대리하고 부가통신업자를 위하여 신용카드 단말기를 설치하는 자로서 제16조의3에 따라 금융위원회에 등록을 한 자를 말한다. 
가맹점사업자," 가맹계약에 따라 가맹본부로부터 자기의 책임과 비용으로 가맹사업을 경영할 수 있는 권리를 받은 사업자를 말한다. ,  가맹사업과 관련하여 가맹본부로부터 가맹점운영권을 부여받은 사업자를 말한다. ,  가맹사업과 관련하여 가맹본부로부터 가맹점운영권을 부여받은 사업자를 말한다. "
가맹점운영권," 가맹점사업자가 가맹본부의 가맹사업과 관련하여 가맹점을 운영할 수 있는 계약상의 권리를 말한다. , franchise license"
가맹중개인," 가맹본부 또는 가맹지역본부로부터 가맹점사업자를 모집하거나 가맹계약을 준비 또는 체결하는 업무를 위탁받은 자를 말한다. , franchise broker"
가맹지역본부," 가맹본부와의 계약에 의하여 일정한 지역 안에서 가맹점사업자의 모집, 상품 또는 용역의 품질유지, 가맹점사업자에 대한 경영 및 영업활동의 지원ㆍ교육ㆍ통제 등 가맹본부의 업무의 전부 또는 일부를 대행하는 사업자를 말한다. , master franchisee"
가맹희망자," 가맹계약을 체결하기 위하여 가맹본부나 가맹지역본부와 상담하거나 협의하는 자를 말한다. , prospective franchisee"
가명,fictitious/false name
가명정보," 「개인정보 보호법」 제2조에 따라 개인정보 일부를 삭제하거나 일부 또는 전부를 대체하는 등의 방법으로 처리함으로써 원래의 상태로 복원하기 위한 추가 정보의 사용ㆍ결합 없이는 특정 개인을 알아볼 수 없는 정보를 말한다. ,  「개인정보 보호법」 제2조에 따라 개인정보의 일부를 삭제하거나 일부 또는 전부를 대체하는 등의 방법으로 처리함으로써 원래의 상태로 복원하기 위한 추가 정보의 사용ㆍ결합 없이는 특정 개인을 알아볼 수 없는 정보를 말한다. ,  「개인정보 보호법」제2조에 따라 개인정보의 일부를 삭제하거나 일부 또는 전부를 대체하는 등의 방법으로 처리함으로써 원래의 상태로 복원하기 위한 추가 정보의 사용ㆍ결합 없이는 특정 개인을 알아볼 수 없는 정보를 말한다. ,  제3호에 따른 가명처리를 거쳐 생성된 정보로서 그 자체로는 특정 개인을 알아볼 수 없도록 처리한 정보를 말한다. , 「개인정보 보호법」제2조에 따라 개인정보의 일부를 삭제하거나 일부 또는 전부를 대체하는 등의 방법으로 처리함으로써 원래의   상태로 복원하기 위한 추가 정보의 사용ㆍ결합 없이는 특정 개인을 알아   볼 수 없는 정보를 말한다. ,  개인정보를 가명처리함으로써 원래의 상태로 복원하기 위한 추가정보의 사용ㆍ결합 없이는 특정 개인을 알아볼 수 없는 정보를 말한다. ,  「개인정보 보호법」에 따라 개인정보의 일부를 삭제하거나 일부 또는 전부를 대체하는 등의 방법으로 처리함으로써 원래의 상태로 복원하기 위한 추가 정보의 사용ㆍ결합 없이는 특정 개인을 알아볼 수 없는 정보를 말한다. ,  「개인정보 보호법」제2조제1호에 따라 개인정보의 일부를 삭제하거나 일부 또는 전부를 대체하는 등의 방법으로 처리함으로써 원래의 상태로 복원하기 위한 추가 정보의 사용ㆍ결합 없이는 특정 개인을 알아볼 수 없는 정보를 말한다. ,  「개인정보 보호법」 제2조에 따라 개인정보의 일부를 삭제하거나 일부 또는 전부를 대체하는 등의 방법으로 처리함으로써 원래의 상태로 복원하기 위한 추가 정보의 사용ㆍ결합 없이는 특정 개인을 알아볼 수 없는 정보를 말한다. ,  가명처리한 개인신용정보를 말한다. "
가명조서등," 검사나 사법경찰관이 범죄신고자 등의 인적사항의 전부 또는 일부의 기재를 생략하고 작성한 조서 등을 말한다. ,  「고위공직자범죄등 내부고발자 보호에 관한 규정」(이하 ""영""이라 한다) 제3조제1항에 따라 수사처검사가 내부고발자의 인적사항의 전부 또는 일부의 기재를 생략하고 작성한 조서나 그 밖의 서류를 말한다. "
가명진술서등," 범죄신고자 등이 인적 사항의 전부 또는 일부의 기재를 생략하고 작성한 진술서 등을 말한다. ,  영 제3조제5항에 따라 내부고발자가 인적사항의 전부 또는 일부의 기재를 생략하고 작성한 진술서나 그 밖의 서류 등을 말한다. "
