Word,Definition
생활하수과,Sewerage Division
생활화학제품," 가정, 사무실, 다중이용시설 등 일상적인 생활공간에서 사용되는 화학제품으로서 사람이나 환경에 화학물질의 노출을 유발할 가능성이 있는 것을 말한다. "
생활환경," 대기, 물, 토양, 폐기물, 소음ㆍ진동, 악취, 일조(日照), 인공조명, 화학물질 등 사람의 일상생활과 관계되는 환경을 말한다. ,  대기ㆍ물ㆍ폐기물ㆍ소음ㆍ진동, 악취, 일조, 인공조명 등 사람의 일상생활과 관계된 환경을 말한다. ,  living environment"
생활환경과,Indoor Air and Noise Management Division
생활환경정비사업," 농어촌지역과 준농어촌지역의 생활환경, 생활기반 및 편익시설ㆍ복지시설 등을 종합적으로 정비하고 확충하며 농어업인 등의 복지를 향상하기 위한 다음 각 목의 사업을 말한다. 
가. 집단화된 농어촌 주택, 공동이용시설 등을 갖춘 새로운 농어촌마을 건설사업 
나. 기존 마을의 토지와 주택 등을 합리적으로 재배치하기 위한 농어촌마을 재개발사업 
다. 분산된 마을의 정비사업 
라. 간이 상수도, 마을하수도(「하수도법」 제2조제4호에 따른 공공하수도 중 농어촌지역에 마을 단위로 설치하는 공공하수도를 말한다) 및 오수ㆍ폐수 정화시설의 설치 등 농어촌 수질오염 방지를 위한 사업 
마. 주민생활의 거점이 되는 지역을 중점적으로 개발하는 정주생활권(定住生活圈) 개발사업 
바. 빈집의 정비(빈집의 철거ㆍ개량ㆍ활용 및 효율적 관리를 위한 사업 등을 말한다) 
사. 농어촌 임대주택의 공급 및 관리를 위한 사업 
아. 치산녹화(治山綠化) 등 국토보전시설의 정비ㆍ확충 
자. 농어촌 주택의 개량(신축ㆍ증축ㆍ개축 및 대수선을 말한다. 이하 같다)사업 
차. 슬레이트(석면이 포함된 슬레이트를 말한다. 이하 같다)가 사용된 농어촌 주택ㆍ공동이용시설 등 시설물에 대한 슬레이트의 해체ㆍ제거 및 처리 사업 
카. 그 밖에 농어촌지역과 준농어촌지역의 생활환경을 개선하기 위하여 필요한 사업 "
서고," 기록물을 보존하는 공간을 말하며, 수집된 기록물을 정리하여 서고에 배치하기 전까지 임시 보존하는 공간을 ""임시서고""라 한다. "
서귀포지역, 서귀포해양경찰서 관할 지역을 말한다. 
서기," 경쟁적 대화를 실시하는 과정에서 협의한 내용을 회의록으로 정리하기 위하여 수요기관의 장이 임명한 자를 말한다. ,  clerk;clerical staff"
서남아태평양과,Southwest Asia and Pacific Division
서류, paper;document
서류검사," 현장검사 전에 「유전자변형생물체의 국가간 이동 등에 관한 통합고시」(이하 ""통합고시""라 한다) 별지 제3-6호서식의 농림축산업용 유전자변형생물체 수입검사신청서(이하 ""검사신청서""라 한다), 「유전자변형생물체의 국가간 이동 등에 관한 법률 시행규칙」(이하 ""규칙""이라 한다) 별지 제6호서식의 유전자변형생물체 수입승인서(이하 ""수입승인서""라 한다), 신고서 등 각종 서류의 구비 여부와 적정성 여부를 확인하는 것을 말한다. , 외국에서 인증 받은 회수설비가 국내에 적합한지 여부를 확인하기 위하여 처리효율, 설비부품 등에 대한 외국 인증기관 발급 인증서 및 기술 관련 서류를 심사하는 것을 말한다. ,  「소금산업 진흥법」(이하 ""법""이라 한다) 제35조제1항에 따른 소금제조업자가 국내에서 생산한 소금(이하 ""국내소금""이라 한다)과 수입한 비식용ㆍ화학부산물소금(이하 ""수입소금""이라 한다)의 품질검사(이하 ""검사""라 한다) 신청서류 등을 검토하여 합격 또는 불합격을 판정하는 검사를 말한다. , 외국에서 인증 받은 회수설비가 국내에 적합한지 여부를 확인하기 위하여 처리효율, 설비부품 등에 대한 외국 인증기관 발급 인증서 및 기술 관련 서류를 심사하는 것을 말한다. ,  제2호에 따른 검사로서 주파수측정표 등 증빙 서류를 확인하는 검사를 말한다. ,  제1호의 규정에 의한 검사를 국내 및 국제적으로 인정된 기관에서 발행한 교정성적서 등의 증빙서류로 확인하는 것을 말한다. "
서류검역," 식물검역관이 현장검역 및 실험실정밀검역을 생략하고 수출검역신청서, 가공공정서 등 관련서류를 확인하는 것을 말한다. ,  식물검역관이 서류검역 대상식물에 대하여 수입검역신청서, 식물검역증명서 등 관련서류를 확인하고 현장검역 및 실험실정밀검역을 생략하는 것을 말한다. ,  식물검역관이 제3조의 서류검역 대상식물에 대하여 수입식물검역신청서, 식물검역증명서 등 관련서류를 확인하여 검역을 실시하는 것을 말한다. "
서류송달, service/delivery of a document (serve/deliver a document
서류심사," 실외이동로봇 모델의 제품기술과 관련된 서류를 검토하여 제4조의 운행안전인증 기준에 적합한지에 대해 심사하는 것을 말한다. ,  관세청장이 공인 또는 종합심사를 할 때에 업체로부터 서류나 장부 등을 제출받아 서면으로 심사하는 것을 말한다. ,  세관장 또는 관세평가분류원장(이하 ""세관장 등”이라 한다)이 공인기업의 종합심사 신청시 공인기준을 준수하는지 여부에 대하여 종합심사 신청업체로부터 서류나 장부 등을 제출받아 서면심사하는 것을 말한다. ,  관세청장이 수출입 안전관리 우수업체 공인을 신청한 업체가 공인기준을 충족하는지 여부에 대하여 해당 업체로부터 서류나 장부 등을 제출받아 서면심사하는 것을 말한다. , 신청서류의 검토와 신청인에 대한 면접을 통하여 개발기술 및 제품의 독창성과 난이도, 기술적 수준, 경제적 파급효과 등을 심사하는 것을 말한다. ,  영 제9조에 따른 인증대상 소방장비에 해당하는지를 확인하고, 신청서 및 첨부서류(규칙 제8조제1항 각 호에 해당하는 서류)가 제품심사 또는 현장심사 등을 적정하게 할 수 있는지를 심사하는 것을 말한다. "
서류제출요구,
서류평가, 규칙 제33조의14제2항에 따라 환경정보 공개대상 기업이 환경정보검증시스템에 등록한 환경정보에 대하여 신뢰성 여부를 검토하는 것을 말한다. 
서류확인검사, 최초확인검사시 신청서 등의 서류검토만으로 유기시설 또는 유기기구에 대하여 안전상태를 확인 받는 검사를 말한다. 
서면검사," 검사원이 금융기관으로부터 자료를 제출받아 검토하는 방법으로 실시하는 검사를 말한다.<개정 2005. 11. 3.> ,  검사원이 검사대상자로부터 필요한 서류나 장부 그밖에 자료를 제출받아 실시하는 검사를 말한다. ,  검사요원이 이 훈령에서 정하는 사항의 확인과 점검을 위하여 검사대상자로부터 필요한 서류나 장부를 제출 받아, 검사요원이 소속된 세관 사무실에서 필요한 사항을 검사하는 것을 말한다. ,  검사원이 검사대상기관으로부터 자료를 요구하여 검토하는 방법 등으로 실시하는 검사를 말한다. "
서면결의, written resolution;resolution in writing
서면계약, written contract
서면기재, in writing;entry in the document
서면동의," 연구대상자가 인간대상연구에 참여 여부를 결정하거나 인체유래물 기증자가 인체유래물 등을 기증하기 전에 설명자로부터 해당 연구와 관련된 충분한 정보를 제공받고, 서명과 서명 날짜가 포함된 문서(동의서)를 통해 본인이 자발적으로 인간대상연구에 참여하거나 인체유래물의 기증 또는 임상정보 등의 제공에 동의함을 확인하는 절차를 말한다. "
서면상담,"고객이 서면(모사전송을 포함한다)으로 제출한 관세행정과 관련하여 문의한 것에 대하여 서면으로 답변하는 것을 말한다. , 고객이 서면(모사전송을 포함한다)으로 제출한 관세행정과 관련한 문의에 대하여 서면으로 답변하는 것을 말한다. "
서면실태조사, 실태조사원이 보훈단체 및 각 수익사업소로부터 자료를 제출받아 검토하는 방법으로 실시하는 조사를 말한다. 
서면심사," 인증 대상 부품의 설계도면, 설계명세서, 설명서, 시험절차 및 안전성입증자료 등으로 해당 부품의 용도ㆍ기능이 인증 기준에 적합한지에 대한 심사를 말한다. "
서면연구노트," 제본된 노트에 필기구 등을 이용하여 내용을 기록하는 연구노트를 말한다. ,  제본된 노트에 필기구 등을 이용하여 내용을 기록하는 연구노트를 말한다. ,  제본된 노트에 필기구 등을 이용하여 내용을 기록하는 연구노트를 말한다. ,  제본된 노트에 필기구 등을 이용하여 내용을 기록하는 연구노트를 말한다. ,  제본된 노트에 필기구 등을 이용하여 내용을 기록하는 연구노트를 말한다. , 제본된 노트에 필기구 등을 이용하여 내용을 기록하는 연구노트를 말한다. , 제본된 노트에 필기구 등을 이용하여 내용을 기록하는 연구노트를 말한다. ,  제본된 노트에 필기구 등을 이용하여 내용을 기록하는 연구노트를 말한다. ,  제본된 노트에 필기구 등을 이용하여 내용을 기록하는 연구노트를 말한다. ,  제본된 노트에 필기구 등을 이용하여 내용을 기록하는 연구노트를 말한다. ,  제본된 노트에 필기구 등을 이용하여 내용을 기록하는 연구노트를 말한다. "
서면입장, 한·미 FTA 제20.7조 제2항 나호에서 규정한 서면입장을 말한다. 
서면조사," 일정기간 동안 업체의 환급신청등에 대하여 환급금등이 정확한지 여부를 해당 업체가 제출한 서류에 의하여 조사하는 것을 말한다. ,  조사대상자로부터 서류나 장부 등을 제출받아 세관 사무실에서 조사하는 것을 말한다. "
서면질문,"의원이 회기 중에 정부에 대한 구두질문에서 누락된 부분이 있거나 폐회 중이라도 정부시책 등에 관하여 정부의 소견을 들을 필요가 있다고 판단될 경우 정부에 대하여 서면으로 질문하는 것을 말한다.(국회법 제122조) ,  의원이 정부에 질문하기 위해 의장의 승인을 득한 후, 정부에 이송한 질문을 말한다.(「국회법」 제122조) "
서면질의," 민원인이 세법 또는 국세청 고시의 해석과 관련된 일반적 사항에 대하여 국세청장에게 서면(팩스에 의한 것을 포함한다)으로 질의하는 것을 말한다. ,  국회의원이 상임위원회(이하 ""상임위""라 한다) 산회 직전, 위원장에게 질의서를 제출하여 정부에 추가적인 서면답변을 요구하는 것을 말한다. "
서면평가," 접수된 신청서를 대상으로 분야별 외부전문가로 평가위원회를 구성하여 서면으로 심사하는 평가를 말한다. , 접수된 과제수행계획서를 대상으로 서면으로 심사하는 평가를 말한다. ,  예비검토가 완료된 활용계획에 대해  평가위원회에서 평가지표에 따른 적정성을 확인ㆍ평가하는 것을 말한다. "
서면합의, written agreement;agreement in writing
서면확인, 세관장이 사후관리업체로부터 사후관리물품의 의무 이행상태를 서류로 제출 받아 사후관리가 적정한지를 점검ㆍ확인하는 것을 말한다. 
서명," 기안자ㆍ검토자ㆍ협조자ㆍ결재권자[제10조에 따라 결재, 위임전결 또는 대결(代決)하는 자를 말한다. 이하 같다] 또는 발신명의인이 공문서(전자문서는 제외한다)에 자필로 자기의 성명을 다른 사람이 알아볼 수 있도록 한글로 표시하는 것을 말한다. ,  기안자ㆍ검토자ㆍ협조자ㆍ결재권자 또는 발신명의인이 공문서(전자문서를 제외한다)상에 자필로 자기의 성명을 다른 사람이 알아볼 수 있도록 한글로 표시하는 것을 말한다. ,  표제지에 있는 책의 이름을 말하며, 저자ㆍ편자ㆍ역자ㆍ판차 등은 포함되지 않는다. ,  기안자ㆍ검토자ㆍ협조자ㆍ결재권자 또는 발신명의인이 공문서(전자문서를 제외한다)상에 자필로 자기의 성명을 다른 사람이 알아볼 수 있도록 한글로 표시하는 것을 말한다. ,  기안자·검토자·협조자·결재권자 또는 발신명의인이 공문서(전자문서를 제외한다)상에 자필로 자기의 성명을 다른 사람이 알아볼 수 있도록 한글로 표시하는 것을 말한다. ,  본인 고유의 필체로 자신의 성명을 제3자가 알아볼 수 있도록 기재하는 것을 말한다. ,  기안자ㆍ검토자ㆍ협조자ㆍ결재권자 또는 발신명의인이 공문서(전자문서를 제외한다)상에 자필로 자기의 성명을 다른 사람이 알아볼 수 있도록 한글로 표시하는 것을 말한다. ,  signature (sign)"
서명권자,"""검사성적서"" 또는 ""검사증명서""에 서명할 권한이 있는 자를 말한다. "
서명날인, signature and seal (sign and seal;sign a name and affix a seal)
서명자," 당사자를 대표하여 조약 및 기관 간 약정에 서명하는 자연인을 말한다. ,  당사자를 대표하여 조약 및 기관 간 약정에 서명하는 자연인을 말한다. ,  당사자를 대표하여 기관간 약정에 서명하는 자연인을 말한다. ,  person who signs;signatory"
서무, administrative affairs;general affairs
서무담당과장,"다음의 직위를 말한다. 
1. 처 본부의 운영지원과장 
2. 지방보훈청(이하 ""지방청”이라 한다.)의 총무과장 및 국립대전현충원(이하 ""현충원”이라 한다.)의 관리과장 
3. 보훈지청(이하 ""지청”이라 한다.)의 보훈과장 
4. 국립4·19민주묘지관리소, 국립3·15민주묘지관리소, 국립5·18민주묘지관리소(이하 ""민주묘지관리소”라 한다)의 장 
5. 국립이천호국원, 국립영천호국원, 국립임실호국원(이하 ""호국원”이라 한다.)의 관리과장 
1. 처 본부의 각 과장(담당관·팀장을 포함한다. 이하 같다) 
2. 지방청·현충원·지청 및 호국원의 각 과장, 제대군인지원센터장, 민주묘지관리소의 장 "
서버시스템," 지방행정종합정보공개시스템을 운영하기 위한 전산기를 말한다. 
3. ""업무주관부서의 장"" 이라 함은 행정안전부와 소방방재청 및 경찰청, 지방자치단체에서 해당 기관의 직제규칙 또는 자치법규에 따라 관련 사무를 주관하는 부서의 장을 말한다. 
4. ""시스템 관리부서의 장"" 이라 함은 행정안전부에서 지방행정종합정보공개시스템 운영·관리 및 지방자치단체 성과공시 업무 등을 총괄하는 부서의 장을 말한다. "
서베일런스실, 카지노영업장에 설치된 모든 CCTV 화면을 확인하는 곳을 말한다. 
서부광산보안사무소,Western Mining Safety Office
서북도서, 인천광역시 옹진군에 속하는 백령도·대청도·소청도·대연평도·소연평도 등 북방한계선 인근 도서를 말한다. 
서비스," 위원회가 고객과 관련하여 수행하는 모든 행정활동을 말한다. ,  병원이 고객과 관련하여 수행하는 모든 활동을 말한다. , 해양경찰기관에서 고객과 관련하여 수행하는 모든 행정활동을 말한다. ,  재활원이 고객과 관련하여 수행하는 모든 서비스활동을 말한다. ,  고객과 관련하여 수행하는 모든 행정활동을 말한다. ,  행정기관이 고객과 관련하여 수행하는 모든 행정 활동을 말한다. , "" 행정기관이 고객과 관련하여 수행하는 모든 행정활동을 말한다. , "" 행정기관이 고객과 관련하여 수행하는 모든 행정활동을 말한다. ,  각 기관이 고객과 관련하여 수행하는 모든 행정활동을 말한다. ,  고용노동행정기관이 고객과 관련하여 수행하는 모든 행정활동을 말한다. ,  재화를 운반ㆍ배급하거나 생산ㆍ소비에 필요한 노무를 제공하는 등의 경제활동을 말한다. ,  유망수출품목발굴 지원사업 공고에 포함되어, 관리위원회에서 최종 선정된 참여기업의 해외진출기반 구축 활동 지원을 위해 수행기관이 참여기업에 유료로 제공하는 용역을 의미한다. ,  휴양림관리소와 그 소속 자연휴양림팀이 고객과 관련하여 수행하는 모든 행정활동을 말한다. ,  중소벤처기업부가 헌장에서 정한 바에 따라 고객에게 제공하는 행정활동을 말한다. , 헌장제정기관이 고객에게 제공하는 모든 행정서비스를 말한다. ,  국가보훈부 및 그 소속기관이 고객과 관련하여 수행하는 모든 행정활동을 말한다. ,  헌장 제정기관이 고객과 관련하여 수행하는 모든 행정활동을 말한다. ,  여성가족부가 고객을 대상으로 수행하는 모든 행정활동을 말한다. ,  세관관서에서 수행하는 수요자와 관련된 모든 행정활동을 말한다. ,  병무청 또는 지방병무청(병무지청)이 고객과 관련하여 수행하는 모든 행정 활동을 말한다. <개정 ’04. 2.11> ,  행정기관이 고객과 관련하여 수행하는 모든 행정활동을 말한다. ,  이용자가 단말기를 이용하여 조달청의 주전산기에 접속하여 다양한 정보를 입력ㆍ활용하는 것을 말합니다. ,  농촌진흥청 및 소속기관이 고객과 관련하여 수행하는 모든 행정활동을 말한다. ,  헌장 제정기관이 고객과 관련하여 수행하는 모든 행정활동을 말한다. "
서비스공급자,"이러닝 콘텐츠와 교육관리시스템을 보유하고 개인, 기업 및 기관에게 학습 서비스를 제공하는 사업자를 말한다. "
서비스데스크," 사용자로부터 관리원에 요청하는 사항의 접수, 분류, 처리결과 통보 등의 업무를 수행하는 조직을 말한다. "
서비스디자인," 수요자 등 이해관계자의 잠재된 요구사항을 찾고, 이를 만족시킬 수 있는 최적의 서비스 처리절차와 시스템이 구현할 기능을 도출해 내는 것을 말한다. ,  수요자의 경험, 행동, 감정, 심리에 대한 면밀한 관찰과 분석을 통해 수요자가 진정으로 원하고 필요로 하는 서비스를 개발, 개선시켜나가는 과정 또는 결과물을 말한다. "
서비스수준," 기반시설에 의해 제공되는 서비스 품질과 관련된 질적 측정척도로 고객에게 조달하고자 하는 조직 또는 활동의 사회적·경제적·환경적 성과 및 목표를 말한다. ,  디지털서비스 내용의 질적 또는 양적인 수준으로, 디지털서비스 제공자가 제공하고자 하는 실제 서비스 수준을 말한다. , 특정 도로나 교차로에서의 교통류의 질을 속도, 통행시간, 운전의 자유로움, 통행장애, 지체정도 등의 요소를 고려하여 정량적으로 구분한 평가기준을 말한다. ,  가스공급설비에 의해 제공되는 서비스 품질과 관련된 질적 측정척도로 고객에게 조달하고자 하는 조직 또는 활동의 사회적ㆍ경제적ㆍ환경적 성과 및 목표를 말한다. ,  기반시설에 의해 제공되는 서비스 품질과 관련된 질적 측정척도로 고객에게 조달하고자 하는 조직 또는 활동의 사회적·경제적·환경적 성과 및 목표를 말한다. ,  열수송관에 의해 제공되는 서비스 품질과 관련된 질적 측정척도로 고객에게 제공하는 사회적ㆍ경제적ㆍ환경적 성과 및 목표를 말한다. ,  송전선로에 의해 제공되는 서비스 품질과 관련된 질적 측정척도로 고객에게 조달하고자 하는 조직 또는 활동의 사회적ㆍ경제적ㆍ환경적 성과 및 목표를 말한다. ,  공동구에 의해 제공되는 서비스 품질과 관련된 질적 측정척도로 고객에게 조달하고자 하는 조직 또는 활동의 사회적ㆍ경제적ㆍ환경적 성과 및 목표를 말한다. ,  송유설비에 의해 제공되는 서비스 품질과 관련된 질적 측정척도로 고객에게 조달하고자 하는 조직 또는 활동의 사회적ㆍ경제적ㆍ환경적 성과 및 목표를 말한다. ,  통신구에 의해 제공되는 서비스 품질과 관련된 질적 측정척도로 고객에게 조달하고자 하는 조직 또는 활동의 사회적ㆍ경제적ㆍ환경적 성과 및 목표를 말한다. ,  국가하천이 제공하는 서비스 품질과 관련된 질적 측정척도로 사회적ㆍ경제적ㆍ환경적 성과 및 목표를 말한다. ,  저수지에 의해 제공되는 서비스 품질과 관련된 질적 측정척도로 고객에게 조달하고자 하는 조직 또는 활동의 사회적ㆍ경제적ㆍ환경적 성과 및 목표를 말한다. "
서비스수준관리서, 서비스제공자와 서비스사용자가 제공될 서비스 수준 및 그와 연관된 여러 조건들에 대한 서로의 책임과 의무사항을 기술해 놓은 협약서를 말한다. 
서비스수준협약," 서비스 제공자가 서비스 가입자와 합의를 통하여 사전에 정의된 수준의 서비스를 제공하기로 맺는 협약을 말한다. ,  함은 디지털서비스를 안정적이고 지속적으로 공급하는 등 품질을 확보하기 위해 서비스의 내용과 그 이행 수준 등에 관하여 수요기관의 장과 계약상대자가 정한 약정을 말한다. ,  함은 디지털서비스를 안정적이고 지속적으로 공급하는 등 품질을 확보하기 위해 서비스의 내용과 그 이행 수준 등에 관하여 수요기관의 장과 계약상대자가 정한 약정을 말한다. ,  국세청과 사업자가 제공될 서비스 및 그와 연관된 여러 조건들에 대한 서로의 책임과 의무사항을 기술해놓은 협약서를 말한다. "
서비스업감시과,Anti Monopoly Division(Service)
서비스업동향과,Short-Term Service Industry Statistics Division
서비스업통계과,Service Industry Statistics Division
서비스연속성관리, 정보시스템에 대한 재난·위기 상황이 발생하였을 경우 그에 대한 예방·대비·대응·복구 등의 전 단계를 체계적으로 관리하는 것을 말한다. 
서비스정보," 수신기에서 프로그램 안내정보의 구성과 선택한 프로그램의 수신을 위한 위성 반송파와 영상, 음성, 데이터 스트림을 찾는데 필요한 정보를 의미한다. ,  가격표시의무자가 사업소 내에서 고객에게 제공하는 서비스(세차, 정비, 편의시설 등)에 관한 모든 정보를 말한다. ,  가입자 단말장치에서 프로그램을 수신하는데 필요한 채널관련 정보 및 프로그램 안내 정보의 집합을 말한다. ,  가격표시의무자가 수소충전소 내에서 고객에게 제공하는 서비스(세차, 정비, 편의시설, 영업시간 등)에 관한 모든 정보를 말한다. "
서비스제공자," 「항공안전법」(이하 ""법""이라 한다) 제58조제2항 및 같은 조 제3항에 따라 안전관리시스템을 마련하고 이행하여야 할 의무가 있는 자를 말한다. ,  행정기관등이 이용할 수 있는 클라우드컴퓨팅서비스를 제공하는 자를 말한다. ,  「항공안전법」(이하 ""법""이라 한다) 제58조제2항 및 같은 조 제3항에 따라 안전관리시스템을 마련하고 이행하여야 할 의무가 있는 자를 말한다. "
서비스참조모형," 응용 서비스에 대한 식별을 통하여 업무와 서비스의 연계 및 재사용을 촉진하고 중복개발을 방지하기 위한 것으로 업무 및 조직에 독립적인 표준 서비스를 분류하고 정의한 체계를 말한다. ,  응용 서비스에 대한 식별을 통하여 업무와 서비스의 연계 및 재사용을 촉진하고 중복개발을 방지하기 위한 것으로 업무 및 조직에 독립적인 표준 서비스를 분류하고 정의한 체계를 말한다. "
서비스표, service mark
서비스표등록,registration of service mark
서비스표등록출원,application for registration of service mark
서비스표심사과,Service Mark Examination Division
서삼릉출장소,Seosamneung Branch Office
서식," 원고에 사용되는 특정한 양식을 말한다. ,  진료정보교류에 활용할 수 있도록 이 고시에서 규정한 방식에 따라 구성된 문서의 양식을 말한다. , inhabitation (inhabit);living (live),  format;form"
서식지, habitat
서식지외보전기관, 법 제17조제1항에 따라 해양수산부장관 또는 시·도지사가 그 서식지에서 보전하기 어렵거나 종의 보존 등을 위해 필요한 경우 서식지 외에서 보전하기 위하여 지정한 기관 또는 단체를 말한다. 
서식지외보전생물, 우리나라 연근해에 서식하거나 발견되는 해양생물 중에서 서식지에서 보전하기 어렵거나 종의 보존 등을 위해 서식지외에서 보전할 필요가 있는 종을 말한다. 
서신," 「우편법」 제1조의2제7호에 따른 서신, 우편엽서, 항공서간을 말한다. ,  의사전달을 위하여 특정인이나 특정 주소로 송부하는 것으로서 문자ㆍ기호ㆍ부호 또는 그림 등으로 표시한 유형의 문서 또는 전단을 말한다. 다만, 신문, 정기간행물, 서적, 상품안내서 등 대통령령으로 정하는 것은 제외한다. ,  수용자가 타인과 주고받는 우편물로서 「우편법」제1조의2제7호의 ‘신서’를 말한다. ,  상대방의 안부, 소식 등을 알기 위해 작성된 편지 또는 이와 유사한 글·도화·사진 등을 말한다. "
서신민원," 농식품공무원교육원에 우편, 모사전송, 구술 등의 방식으로 접수된 민원을 말한다. ,  농림축산검역본부에 우편, 모사전송, 구술 등의 방식으로 접수된 민원을 말한다. ,  국립농산물품질관리원(이하 ""농관원""이라 한다)에 우편, 모사전송, 구술 등의 방식으로 접수된 민원을 말한다. ,  민원인이 방문ㆍ우편ㆍ팩스로 신청한 민원을 말한다. ,  우편 또는 모사전송으로 접수된 민원을 말한다. "
서신제안, 제안인이 방문ㆍ우편ㆍ팩스로 신청한 제안을 말한다. 
서약, oath;pledge
서양자, adopted son-in-law
서열, 핵산염기 서열 또는 아미노산 서열을 말한다. 
